chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.1,2.4,4.5,4.4,2.8,김용철 교수님,집합론,2017-2학기,전공선택
5,2.8,4.8,5,4.1,권혁진 교수님,"해석학II 연습 금(3,4)",2017-2학기,전공선택
4.8,2.9,2.8,3.5,3.4,김홍찬 교수님,기하학 연습 목(4),2017-2학기,전공선택
1,3.4,3.7,3.7,3.7,권순희 교수님,선형대수II 연습 수(2) 김재현 교수님,2017-2학기,전공선택
5,3.1,3.6,3.7,3.2,권혁진 교수님,미분방정식II,2017-2학기,전공선택
2.6,4.4,1.5,1.1,1.6,정다래 교수님,수치해석,2017-2학기,전공선택
5,3.3,3.3,3.9,3.6,김동중 교수님,수학교과논리및논술(영강),2017-2학기,전공필수
1,3.8,4.3,4.3,4.3,권순희 교수님,현대대수II 연습 수(2) 금(5),2017-2학기,전공선택
4.7,3.6,2.5,2.8,2.9,황우형 교수님,수학교과교육론,2017-2학기,전공필수
2.7,4.2,3.7,3.2,4.1,서아림 교수님,위상수학II,2017-2학기,전공선택
5,2,3.4,4,4.2,김홍찬 교수님,미분기하II,2017-2학기,전공선택
4,3.8,3.8,3,3.3,김용철 교수님,복소수함수론II,2017-2학기,전공선택
4,3,4.5,4,3,권혁진 교수님,해석학개념학습과지도,2017-2학기,전공선택
4.3,3.5,3.8,3.8,3,최기봉 교수님,확률론,2017-2학기,전공선택
4.9,4.4,1.6,1.4,2,윤혜순 교수님,수학사,2017-2학기,전공선택
4,4,3.6,4.6,3.9,조영헌 교수님,동양사개론,2017-2학기,전공선택
5,3,4,4.3,3.8,박윤진 교수님,한국중세사,2017-2학기,전공필수
2.8,2.9,3.1,4.2,2.9,이완석 교수님,중국중세사,2017-2학기,전공필수
5,3.3,4,4.3,3.3,홍용진 교수님,서양중세사,2017-2학기,전공필수
2.3,3.6,4,4.2,3.6,이형식 교수님,일본근대사,2017-2학기,전공필수
3.8,3.7,3.9,4.1,4.2,김윤희 교수님,한국근대사,2017-2학기,전공필수
1,2.1,4.1,2.8,1.8,박정현 교수님,중국현대사,2017-2학기,전공필수
1.8,2.9,3.5,3.5,4,권내현 교수님,한국사회경제사,2017-2학기,전공필수
4.3,4.7,3,2.3,3.3,이진일 교수님,역사교과교재연구및지도법(세계사II),2017-2학기,전공필수
3.5,3.8,3.3,3.8,3.5,박현숙 교수님,역사교과교재연구및지도법(한국사) 수강대상 : 역사교과교육론 수강자,2017-2학기,전공필수
4.5,4.5,3.5,3.5,3.5,백은진 교수님,역사교과논리및논술 2학년 이상 수강 가능,2017-2학기,전공필수
5,3.5,4.3,4.5,5,김경란 교수님,한국사사료학습론,2017-2학기,전공선택
4,4.2,4.3,3.3,3.8,정순일 교수님,일본사특강,2017-2학기,전공선택
4.7,4.4,3.9,3.1,3.6,박혜정 교수님,서양사세미나(영강),2017-2학기,전공선택
5,3.3,4.1,4.2,4.4,김계옥 교수님,"영어학입문 [김계옥 교수님으로 변경, 국강으로 변경]",2017-2학기,전공필수
5,4.6,3.7,4.1,4.4,"Grace Kim,Hamilton Chang 교수님",영어청해및회화I(영강) [2017 신입생 1번~33번],2017-2학기,전공필수
3.7,3,2.7,3,2.3,"Michael Misner,Brian Atwood St⋯ 교수님",영어청해및회화I(영강) [2017 신입생 34번~끝],2017-2학기,전공필수
4.1,2.7,2.9,3.2,3.1,"최석무,이영주 교수님",영미문학교육(영강) [2017 신입생 1번~33번],2017-2학기,전공필수
4.8,3.8,3,3.2,3.7,황지연 교수님,영미문학교육(영강) [2017 신입생 34번~끝],2017-2학기,전공필수
5,3,5,4,5,"Grace Kim,Hamilton Chang 교수님",영어청해및회화II(영강) [2017 신입생 1번~33번],2017-2학기,전공필수
4.8,4,3.4,3.4,4,"Grace Kim,Hamilton Chang 교수님",영어청해및회화II(영강) [2017 신입생 34번~끝],2017-2학기,전공필수
5,4,2,2.5,3.5,이영주 교수님,고급영어독해(영강) [월수5 -> 화목2로 변경],2017-2학기,전공필수
1,3.8,3.2,2.8,3.4,Brian Atwood Stokes 교수님,고급영어독해(영강),2017-2학기,전공필수
5,3.4,2.4,2.7,2.4,Michael Misner 교수님,영어교과논리및논술(영강),2017-2학기,전공필수
4.9,4.3,4,4.3,4.6,Grace Kim 교수님,영어교과논리및논술(영강),2017-2학기,전공필수
3.6,3.4,3.3,3.5,3.4,이상근 교수님,영어문법의이해(영강),2017-2학기,전공필수
5,3.4,3,3.7,4.3,Hamilton Chang 교수님,영미문화의이해(영강),2017-2학기,전공필수
1,3.5,2.4,2.7,2.3,Brian Atwood Stokes 교수님,영미문화의이해(영강),2017-2학기,전공필수
4.1,3.7,2.7,2.1,2,정헌 교수님,영미시이해와교육,2017-2학기,전공선택
3.3,3.7,4,3.7,4.3,Hamilton Chang 교수님,영어발표와실용영어(영강),2017-2학기,전공선택
4,3.5,2.5,2.5,2.5,"Michael Misner,Brian Atwood St⋯ 교수님",영어청해및회화III(영강),2017-2학기,전공선택
3.7,3,2.3,3.1,2.4,"Michael Misner,Brian Atwood St⋯ 교수님",영어청해및회화III(영강),2017-2학기,전공선택
4.9,1.9,4.5,4.6,4.4,정태구 교수님,영어의통사구조(영강),2017-2학기,전공선택
4.8,3.3,3.9,3.9,3.5,허명혜 교수님,영어작문교육론,2017-2학기,전공선택
4.9,4.1,3.5,3.6,4.5,강유선 교수님,영어교과교육론(영강) (유연학기제 시행:10월 10일~12월 1일 수업),2017-2학기,전공필수
4.3,3.8,4.3,4.5,4.3,허명혜 교수님,영어교과교재연구및지도법 [허명혜 교수님으로 변경],2017-2학기,전공필수
5,4.2,3.2,2.7,3.8,박태자 교수님,영어교과교재연구및지도법(영강),2017-2학기,전공필수
5,3.3,3.3,3.1,3.7,노애경 교수님,영미희곡강독(영강),2017-2학기,전공선택
1.6,3.6,3.6,3.7,4.3,Brian Atwood Stokes 교수님,고급영어작문(영강),2017-2학기,전공필수
4.3,3.3,3.8,4.8,3.8,Grace Kim 교수님,고급영어작문(영강),2017-2학기,전공필수
4.3,3.6,4.1,4,3.9,이상근 교수님,영어의의미와화용(영강),2017-2학기,전공선택
3.8,3.7,3.3,3.2,3.4,윤정회 교수님,응용영어학(영강) [1학년 수강불가],2017-2학기,전공선택
5,5,3,3,5,백진경 교수님,중등영어교육과정및교재론(영강),2017-2학기,전공선택
2.4,3.6,2.8,3,3.4,최석무 교수님,영미소설강독(영강),2017-2학기,전공선택
4,2.5,2.3,1.8,2.5,홍성찬 교수님,자연지리학개론,2017-2학기,전공필수
4.2,4.3,1.2,1,1.2,신성희 교수님,인구지리학,2017-2학기,전공선택
4.6,3.8,3.5,4.1,3.5,손승호 교수님,도시지리학,2017-2학기,전공필수
5,3.7,4.3,3.7,3.8,이준호 교수님,기후학,2017-2학기,전공선택
4,3.8,2.7,2.7,3.3,김부성 교수님,경제지리학,2017-2학기,전공필수
2.1,3.2,2,1.8,1.1,한동균 교수님,지리교과논리및논술,2017-2학기,전공필수
2.9,3.6,3.2,2.4,2.8,서태열 교수님,지리교과교재연구및지도법,2017-2학기,전공필수
4.9,3.8,2.1,1.9,3,천종호 교수님,아시아지리,2017-2학기,전공선택
4.5,4.5,3,2.5,4.5,홍금수 교수님,야외지리조사VI,2017-2학기,전공선택
4.8,4.7,2.8,3.7,4.3,김희순 교수님,아메리카지리,2017-2학기,전공선택
2.6,4.3,2.6,2.4,3.6,조경철 교수님,지리학습및평가,2017-2학기,전공선택
4.8,4.6,2.2,2.4,3.4,김부성 교수님,관광지리학,2017-2학기,전공선택
1,3.5,4.5,4,3,홍금수 교수님,지리학사,2017-2학기,전공선택
4.7,5,2.2,2.8,3.7,홍서영 교수님,환경지리교육론,2017-2학기,전공선택
2.5,5,2.5,2.5,2.5,박성근 교수님,교통지리학,2017-2학기,전공선택
4,3.7,3.9,4.6,4.5,손승호 교수님,한국지리각론,2017-2학기,전공선택
5,4.5,3.5,2.5,4.5,최상협 교수님,임해훈련,2017-2학기,전공필수
4.3,5,3.5,3,4.8,이병찬 교수님,스키교수법,2017-2학기,전공선택
4.2,4.6,2.6,3.2,4.6,최희동 교수님,스키교수법,2017-2학기,전공선택
5,5,3,3,5,김태윤 교수님,스키교수법,2017-2학기,전공선택
4.9,4.9,2.6,2,4.3,이진석 교수님,기능해부학,2017-2학기,전공선택
4.8,4.6,3.8,2.8,3.8,김태완 교수님,스포츠정보처리,2017-2학기,전공선택
5,5,2.6,2.6,4.4,김태윤 교수님,빙상교수법,2017-2학기,전공선택
4.9,4.9,2.4,2,4,서민석 교수님,육상교수법Ⅱ,2017-2학기,전공선택
4.8,4.3,2.3,2,3.8,서민석 교수님,육상교수법Ⅱ,2017-2학기,전공선택
4.3,5,1.3,2,4.8,최상협 교수님,수영교수법Ⅱ,2017-2학기,전공선택
5,3.8,2,2.5,2.3,이한숙 교수님,스포츠사회학,2017-2학기,전공필수
4.7,2.5,3,3,2.8,김매이 교수님,여가레크리에이션교육론(영강),2017-2학기,전공필수
4.3,4.7,1.7,1.7,1.7,이병찬 교수님,테니스교수법,2017-2학기,전공선택
5,4.5,3.5,4,5,박종훈 교수님,보건교육론(영강),2017-2학기,전공선택
4.6,4.4,2,2.2,2.8,최희동 교수님,스포츠경영학,2017-2학기,전공선택
5,5,5,5,5,이승규 교수님,체조교수법Ⅱ,2017-2학기,전공선택
4.3,4.7,2,2.7,5,송용관 교수님,배구교수법,2017-2학기,전공선택
4.7,3,1.7,2.3,3.7,전선영 교수님,체육교과교육론,2017-2학기,전공필수
4.9,4.4,2.4,1.8,2.9,김수경 교수님,트레이닝방법론,2017-2학기,전공선택
4.8,4.2,4.2,3.4,3.4,박진훈 교수님,체육측정및평가(영강),2017-2학기,전공필수
4.7,3.7,3.7,4,4,최영준 교수님,스포츠심리학,2017-2학기,전공선택
4,3.6,2.9,2.9,3.8,정연길 교수님,탁구교수법,2017-2학기,전공선택
4.3,4.7,2.3,2,4.3,김규호 교수님,구급및안전관리,2017-2학기,전공선택
4.5,5,2,2,4,송용관 교수님,핸드볼교수법,2017-2학기,전공선택
4.7,3.7,3.7,5,4.3,최범권 교수님,특수체육,2017-2학기,전공선택
5,5,4,2,4,박종서 교수님,태권도교수법,2017-2학기,전공선택
5,4,4.5,4,4,박훈영 교수님,스포츠의학입문,2017-2학기,전공선택
1.3,3.8,2.8,1.5,1.3,이예승 교수님,무용교육이론및실제,2017-2학기,전공선택
4.5,5,4.5,3,4.5,이병찬 교수님,야외활동Ⅱ,2017-2학기,전공선택
5,1,3,3,1,김형수 교수님,운동역학 체육특기자 외 수강금지,2017-2학기,전공필수
5,5,4,4,4,"김현철,정순영박성빈,서태원임희석 교수님",정보·컴퓨터교과논리및논술,2017-2학기,전공필수
5,4.5,2,2,5,안지만 교수님,텍스타일디자인,2017-2학기,전공선택
2.6,4.6,3.6,4,4,이혜원 교수님,패션포트폴리오제작및현장연구,2017-2학기,전공선택
2,3.7,3,2.7,4.7,김진수 교수님,실험계획의원리와응용,2017-2학기,전공선택
1.4,3.1,3.3,4.3,3.5,황광연 교수님,영양생리학,2017-2학기,전공선택
4.3,3.2,3.7,4.6,2.7,김슬기 교수님,해부조직학,2017-2학기,전공선택
4.9,3.8,2.9,3,3.6,김종윤 교수님,식물번식공학(영강),2017-2학기,전공선택
2.7,3.6,3.7,3.7,3.7,지영민 교수님,유기화학Ⅱ,2017-2학기,전공선택
1,3.3,4.8,4.3,3,최용석 교수님,유기화학Ⅱ(영강),2017-2학기,전공선택
2.9,3.8,3.8,4,3.3,이동호 교수님,유기화학Ⅱ(영강),2017-2학기,전공선택
4.5,3.8,3,4,4.3,권진선 교수님,유기화학Ⅱ,2017-2학기,전공선택
1.8,4.2,2.5,2.8,3.3,지영민 교수님,효소학,2017-2학기,전공선택
5,2.9,4.1,3.9,4.6,민병남 교수님,미생물생리학,2017-2학기,전공선택
4,3.6,2.2,2.4,3.6,최인걸 교수님,미생물학실험,2017-2학기,전공선택
3,3.4,3.9,4,4.6,전태훈 교수님,질병미생물학(영강),2017-2학기,전공선택
4.3,3.9,3.7,3.9,4.9,유승권 교수님,유전자공학및실험,2017-2학기,전공선택
1.6,3.3,2.6,3.2,3.5,홍기창 교수님,동물분자육종학,2017-2학기,전공선택
3,2.9,3.3,3.1,3.1,김진수 교수님,보전유전학,2017-2학기,전공선택
5,4.3,2.1,1.9,3.3,박성옥 교수님,채소및허브학,2017-2학기,전공선택
1.3,4.5,3.8,3,4.5,이동호 교수님,기기분석학및실험(영강),2017-2학기,전공선택
4.4,3.5,3.3,3.6,3.8,김기덕 교수님,식물병제어학,2017-2학기,전공선택
4.8,4,2.8,2.8,3.4,이일석 교수님,미생물생명공학Ⅱ및실험,2017-2학기,전공선택
2.5,3.3,3.3,3.5,4.1,송문정 교수님,분자바이러스생명공학,2017-2학기,전공선택
1.5,4,3.2,3.6,3.9,고용 교수님,내분비학(영강),2017-2학기,전공선택
5,3.3,3.4,3.8,4.3,정우영 교수님,생식의학,2017-2학기,전공선택
5,3.3,3.3,3,3.8,김종훈 교수님,줄기세포공학,2017-2학기,전공선택
5,4,3.7,3.3,3.2,이철구 교수님,생명정보공학(영강),2017-2학기,전공선택
1.2,3.5,3.9,4.4,4.1,이영식 교수님,리보핵산공학(영강),2017-2학기,전공선택
2.1,2.6,2.8,2.6,2,홍경낙 교수님,임목분자육종학,2017-2학기,전공선택
5,4.2,3.6,3.3,3.7,박성효 교수님,독성생화학,2017-2학기,전공선택
4.3,4.8,2.8,2.4,3.3,한성옥 교수님,바이오매스및바이오에너지공학,2017-2학기,전공선택
1.3,3.1,2.5,2.1,1.5,김욱 교수님,식물유전자원공학(영강),2017-2학기,전공선택
2.4,2.8,4.2,4.4,4.3,김형기 교수님,세포생물학Ⅱ,2017-2학기,학부공통
3.7,3.4,3.8,4.3,3.8,송문정 교수님,세포생물학Ⅱ(영강),2017-2학기,학부공통
4.9,3.3,2.4,2.9,4.2,송권화 교수님,세포생물학Ⅱ(영강),2017-2학기,학부공통
1.4,2.7,3,3.2,4.2,최의주 교수님,세포생물학Ⅱ,2017-2학기,학부공통
2.1,3.5,3.4,3.7,3.8,김옥매 교수님,세포생물학Ⅱ(영강) (수업시간: 12:00~13:15),2017-2학기,학부공통
2.9,3.8,3.1,4,3.2,윤철원 교수님,미생물학Ⅱ,2017-2학기,학부공통
3.5,3.8,2.4,2.2,2.4,윤원석 교수님,미생물학Ⅱ (수업시간: 12:00~13:15),2017-2학기,학부공통
2.4,4.1,3.1,3.9,3.2,최인걸 교수님,미생물학Ⅱ,2017-2학기,학부공통
1.7,3,3.3,3.8,3.8,"백경희,안병윤 교수님",분자생물학Ⅱ,2017-2학기,학부공통
1.5,3.8,4,4.2,4.4,김윤기 교수님,분자생물학Ⅱ(영강),2017-2학기,학부공통
3.7,3.9,3.6,4,3.8,김대성 교수님,분자생물학Ⅱ(영강),2017-2학기,학부공통
1.1,3.8,3.3,3.6,3.7,"지성길,홍정호 교수님",유전학Ⅱ(영강),2017-2학기,학부공통
3,3.6,3.7,3.7,3.6,"백자현,윤봉준 교수님",유전학Ⅱ(영강),2017-2학기,학부공통
1.4,3.6,2.1,2,1.8,김욱 교수님,유전학Ⅱ(영강),2017-2학기,학부공통
2.9,3.5,3.8,4,3.3,"김준,우재성 교수님",생화학Ⅱ(영강) (수업시간: 12:00~13:15),2017-2학기,학부공통
3.7,3.1,4.4,4.9,3.4,"구승회,최무현 교수님",생화학Ⅱ,2017-2학기,학부공통
1.5,2.8,3.8,3.8,4,"황광연,이영식 교수님",생화학Ⅱ,2017-2학기,학부공통
1.3,3.8,3.5,4.1,4,이병천 교수님,생화학Ⅱ(영강),2017-2학기,학부공통
5,2.5,1,2,2,윤철원 교수님,생명과학실험I(미생물학),2017-2학기,전공필수
4.7,3.3,3,3.3,3.3,박용성 교수님,생명과학실험I(미생물학),2017-2학기,전공필수
4.3,3.3,3,3.3,2.7,홍정호 교수님,생명과학실험III(세포분자생물학),2017-2학기,전공필수
4.8,3.3,4,3.4,3.4,금현덕 교수님,생명과학과법,2017-2학기,전공선택
5,4,3,2.5,3.5,최상윤 교수님,생명과학실험Ⅳ(생화학),2017-2학기,전공필수
5,2,1,3,2,백자현 교수님,생명과학실험Ⅳ(생화학),2017-2학기,전공필수
3.8,4.2,2.2,2.8,4,최무현 교수님,생명과학실험Ⅳ(생화학),2017-2학기,전공필수
2.3,2.9,2.9,3.6,3.2,"신정섭,백경희 교수님",식물분자생물학,2017-2학기,전공선택
4.3,4.3,2.6,2.2,2.4,김찬화 교수님,생물물리화학II,2017-2학기,전공선택
2,4,2.7,3.3,3.3,안지훈 교수님,생리학Ⅱ(영강),2017-2학기,전공선택
4.8,3.2,3.5,4.2,3.5,구승회 교수님,인체대사학,2017-2학기,전공선택
2.6,3.5,4.5,4.7,4,"윤봉준,백자현 교수님",시스템신경과학(영강),2017-2학기,전공선택
4.3,2.9,3.6,4,3.9,김태성 교수님,면역학II,2017-2학기,전공선택
2.6,3.6,2.8,2.8,2.6,안지훈 교수님,연구논문지도II,2017-2학기,전공필수
1.9,3.4,3.1,3.3,3.6,김기중 교수님,진화생물학,2017-2학기,전공선택
4.4,4.1,3.7,3.2,3.2,지성욱 교수님,생물정보학(영강) (수업시간: 17:00~18:15),2017-2학기,전공선택
1.2,3.4,3.5,3.7,4.4,안병윤 교수님,바이러스학,2017-2학기,전공선택
1.5,3.1,2.7,2.9,3.3,"최상윤,최의주 교수님",생물안전성학,2017-2학기,전공선택
1,4.1,3.6,3.7,4.3,김충호 교수님,세포신호전달학(영강) (수업시간: 17:00~18:15),2017-2학기,전공선택
1,4,2.8,2.6,4.4,김재홍 교수님,염증생물학,2017-2학기,전공선택
1.5,3.5,4.1,4.7,3.4,구만복 교수님,분석생명과학 (수업시간: 12:00~13:15),2017-2학기,전공선택
3.3,3.9,4.6,3.9,3.8,권정환 교수님,환경화학(영강),2017-2학기,전공선택
1,2.8,4.4,4.6,4.3,박우준 교수님,환경미생물학(영강),2017-2학기,전공필수
